,questions,categories,answers
52,Como saber a relação do declarante com a empresa no exterior?,CBE - Capitais Brasileiros no Exterior Informando os ativos no exterior,"Para declarante pessoa jurídica:“Empresa declarante é empresa irmã da empresa no exterior” – a empresa declarante e a empresa no exterior pertencem ao mesmo grupo econômico; “Empresa declarante é investidora direta na empresa no exterior” – a empresa declarante possui poder de voto igual ou superior a 10% na empresa no exterior; “Empresa declarante é investidora indireta na empresa no exterior” – a empresa declarante possui, de forma indireta, isto é, através de participações cruzadas em empresas, poder de voto igual ou superior a 10% na empresa no exterior; “Empresa declarante é investida direta ou indireta da empresa no exterior” – a empresa no exterior possui, direta ou indiretamente, poder de voto igual ou superior a 10% na empresa declarante.    Para declarante pessoa física:“Declarante é investidor direto na empresa no exterior” – o declarante possui poder de voto igual ou superior a 10% na empresa no exterior."
53,A instituição financeira pode cobrar tarifa para registrar operações no SML?,Sistema de Pagamentos em Moeda Local (SML),"Sim. A cobrança de tarifa sobre o registro da operação fica a critério de cada instituição financeira.  Em relação às pessoas físicas, este serviço é caracterizado como serviço especial, admitindo-se a cobrança de tarifa nos termos da regulamentação específica (Resolução 3.919, de 2010, art. 4)."
54,Existem riscos nessas aplicações financeiras?,Aplicações financeiras,"Toda aplicação financeira está sujeita a riscos. Para reduzi-los, deve-se procurar informações sobre o tipo de aplicação, sobre a instituição financeira e sobre as variáveis econômicas que podem influenciar o resultado esperado. Geralmente os rendimentos são maiores nas aplicações de maior risco. Algumas aplicações são parcialmente garantidas pelo Fundo Garantidor de Créditos - FGC."
55,Quais os principais motivos para devolução de cheque?,Cheques Devolução de cheques,"Os motivos de devolução dos cheques podem ser consultados naResolução CMN 1.682, de 1990."
56,O que é consórcio?,Consórcios Consórcios - Informações gerais,"Consórcio é a reunião de pessoas naturais ou jurídicas em grupo, promovida por administradora de consórcio, com a finalidade de propiciar a seus integrantes, por meio de autofinanciamento, a aquisição de bens e serviços. O grupo de consórcio tem prazo de duração e número de cotas previamente determinados."
57,Como faço para obter o relatório do CCS?,Cadastro de Clientes do Sistema Financeiro Nacional (CCS) Acesso ao cidadão (Pessoa Física ou Jurídica),"Em função de sigilo à intimidade e à privacidade, a solicitação de consulta ao Relatório de Contas e Relacionamentos em Bancos (CCS) não pode ser realizada por e-mail, nem por telefone. O relatório pode ser consultado, por pessoa física ou jurídica, conforme orientações disponíveis na página doRegistrato.  É possível acessar o relatório também por meio daConta Gov.br , níveis prata ou ouro.  Alternativamente, o relatório do CCS pode ser solicitado à Central de Atendimento do Banco Central,  conforme orientações disponíveis na página doFale conosco."
58,Onde consigo o extrato?,Liquidação Extrajudicial - Consórcios,"Na administradora de consórcios. O liquidante ou funcionário por ele indicado informará o prazo para fornecimento, que levará em conta os levantamentos que se fazem necessários após a decretação do regime de liquidação extrajudicial."
59,Como deve ser feito o recolhimento ao BC do capital social?,"Processos de Autorização do Banco Central Instituições, regras e sistemas que necessitam apenas da autorização para funcionamento (dispensadas da etapa de autorização para constituição)",O recolhimento das quantias recebidas dos subscritores do capital pode ser efetuado em moeda corrente e/ou em títulos de emissão do Tesouro Nacional. Os valores recolhidos em moeda corrente não estão sujeitos a nenhum tipo de juros ou correção. Para mais informações acesse o Sisorf 3.6.10.
60,"As pessoas, físicas ou jurídicas, são obrigadas a receber cédulas rabiscadas, rasgadas e coladas ou faltando pedaço?",SEM-CATEGORIA,"Não. Toda cédula danificada só vale para ser depositada, trocada ou utilizada para pagamento em agência de qualquer banco comercial, que a enviará ao Banco Central para ser destruída."
61,Posso fazer declaração de anos anteriores?,Censo Anual de Capitais Estrangeiros no País,"O sistema de declaração encontra-se aberto para declarações desde 2010. Para fazer a declaração    clique aqui, selecione a declaração desejada e faça o login ou cadastre o declarante."
62,Qual o tempo máximo para efetivação de bloqueio após a ordem judicial?,SEM-CATEGORIA,"Com exceção de transferências de valores, o prazo para cumprimento da ordem e resposta é de até dois dias úteis, contados do dia de remessa do arquivo com a ordem."
63,É possível alterar condições e prazos do Termo de Compromisso após a celebração?,Termo de Compromisso Após a celebração do Termo de Compromisso,"As condições do Termo de Compromisso são inalteráveis, salvo por nova deliberação do Coter, mediante requerimento da parte interessada. O prazo para cumprimento do Termo de Compromisso é improrrogável, salvo por fato superveniente e não imputável a quem celebrou o Termo de Compromisso, motivadamente reconhecido pelo BC."
64,O histórico de crédito pode ser compartilhado com terceiros?,Cadastro Positivo Histórico de crédito,"Sim. Contudo, ao contrário do que ocorre com a nota, o fornecimento do histórico de crédito aos consulentes depende de anuência prévia do cadastrado. Assim, o histórico de crédito somente pode ser compartilhado se houver autorização específica do cadastrado.  A autorização pode ser feita em formato físico ou eletrônico, conforme modelo presente no Anexo do Decreto 9.936, de 2019:    Atenção: A autorização para disponibilização do histórico de crédito também se aplica aos bancos de dados em funcionamento em 9 de julho de 2019."
65,Preciso acessar o Protocolo Digital para pedir informação no BC ou registrar uma reclamação contra entidade supervisionada?,Protocolo Digital Informações Gerais,"Não. Nesse caso, basta acessar o Fale Conosco e registrar sua demanda. Apenas o número do CPF é exigido."
66,Como posso acessar a relação de instituições de pagamentos de que sou cliente?,SEM-CATEGORIA,"Napágina do Cadastro de Clientes do Sistema Financeiro (CCS) é possível ter acesso às instituições de pagamento autorizadas pelo Banco Central das quais o usuário é cliente, por meio de um relatório individualizado e sigiloso.  Para mais informações sobre o CCS, acesse aFAQ."
67,O que são recebíveis de cartão de crédito?,SEM-CATEGORIA,"Quando o cliente paga com cartão de crédito ao lojista pelo produto ou serviço adquirido, o lojista recebe o valor, geralmente, 30 dias após a data da compra. Isso ocorre porque o fluxo do pagamento obedece à seguinte ordem:  O cliente paga a fatura do cartão emitido pelo emissor, instituição financeira ou instituição de pagamento, em média, 25 dias após a data da compra; O emissor repassa esse valor ao credenciador em torno de 28 dias depois da data da compra; e O credenciador repassa o valor diretamente ao lojista ou a um subcredenciador, que o repassa ao lojista, geralmente, 2 dias depois do repasse pelo emissor, completando assim 30 dias após a data da compra.  O conjunto de operações que o lojista tem o direito de receber e o credenciador ou subcredenciador tem o dever de repassar ao lojista denomina-se recebíveis de cartão de crédito e o fluxo de recebimentos futuros constitui a chamada agenda de recebíveis."
68,Há prazo máximo ou mínimo de duração do consórcio?,Consórcios Grupo de consórcio,"Não. As administradoras podem definir o prazo de duração do grupo, informação que é obrigatória constar no contrato. O prazo de duração do grupo somente pode ser alterado por meio de assembleia geral extraordinária na ocorrência de fatos que onerem em demasia os consorciados ou de outros eventos que dificultem a satisfação de suas obrigações. Os contratos de todos os consorciados, que façam parte do mesmo grupo de consórcio, devem ter prazo de conclusão na mesma data de encerramento do grupo, admitida a antecipação da liquidação do saldo devedor por iniciativa do cotista. Em situações específicas, no caso de consorciado admitido em grupo em andamento (em decorrência de venda de cota nova ou de cota de reposição), o prazo de duração do contrato para o novo cotista será o prazo remanescente para o término do grupo de consórcio, devendo a administradora considerar este prazo para calcular o valor da parcela."
69,O vendedor do consórcio garantiu que a contemplação é imediata. Isso é verdade?,Consórcios Contemplação,"Não. O vendedor do consórcio não pode prometer a contemplação imediata. Mesmo se houver quitação ou antecipação do pagamento de prestações, só há duas maneiras de você ser contemplado: o sorteio e o lance. Além disso, as contemplações dependem da existência de recursos no grupo."
70,Como funciona a compensação de cheques?,SEM-CATEGORIA,A regulamentação atual determina que a compensação de cheques seja efetuada unicamente por intermédio de imagem digital e outros registros eletrônicos do cheque (truncagem de cheques).
